orderID,productID,quantity
10248,11,12
10248,42,10
10248,72,5
10249,14,9
10249,51,40
10250,41,10
10250,51,35
10250,65,15
10251,22,6
10251,57,15
10251,65,20
10252,20,40
10252,33,25
10252,60,40
10253,31,20
10253,39,42
10253,49,40
10254,24,15
10254,55,21
10254,74,21
10255,2,20
10255,16,35
10255,36,25
10255,59,30
10256,53,15
10256,77,12
10257,27,25
10257,39,6
10257,77,15
10258,2,50
10258,5,65
10258,32,6
10259,21,10
10259,37,1
10260,41,16
10260,57,50
10260,62,15
10260,70,21
10261,21,20
10261,35,20
10262,5,12
10262,7,15
10262,56,2
10263,16,60
10263,24,28
10263,30,60
10263,74,36
10264,2,35
10264,41,25
10265,17,30
10265,70,20
10266,12,12
10267,40,50
10267,59,70
10267,76,15
10268,29,10
10268,72,4
10269,33,60
10269,72,20
10270,36,30
10270,43,25
10271,33,24
10272,20,6
10272,31,40
10272,72,24
10273,10,24
10273,31,15
10273,33,20
10273,40,60
10273,76,33
10274,71,20
10274,72,7
10275,24,12
10275,59,6
10276,10,15
10276,13,10
10277,28,20
10277,62,12
10278,44,16
10278,59,15
10278,63,8
10278,73,25
10279,17,15
10280,24,12
10280,55,20
10280,75,30
10281,19,1
10281,24,6
10281,35,4
10282,30,6
10282,57,2
10283,15,20
10283,19,18
10283,60,35
10283,72,3
10284,27,15
10284,44,21
10284,60,20
10284,67,5
10285,1,45
10285,40,40
10285,53,36
10286,35,100
10286,62,40
10287,16,40
10287,34,20
10287,46,15
10288,54,10
10288,68,3
10289,3,30
10289,64,9
10290,5,20
10290,29,15
10290,49,15
10290,77,10
10291,13,20
10291,44,24
10291,51,2
10292,20,20
10293,18,12
10293,24,10
10293,63,5
10293,75,6
10294,1,18
10294,17,15
10294,43,15
10294,60,21
10294,75,6
10295,56,4
10296,11,12
10296,16,30
10296,69,15
10297,39,60
10297,72,20
10298,2,40
10298,36,40
10298,59,30
10298,62,15
10299,19,15
10299,70,20
10300,66,30
10300,68,20
10301,40,10
10301,56,20
10302,17,40
10302,28,28
10302,43,12
10303,40,40
10303,65,30
10303,68,15
10304,49,30
10304,59,10
10304,71,2
10305,18,25
10305,29,25
10305,39,30
10306,30,10
10306,53,10
10306,54,5
10307,62,10
10307,68,3
10308,69,1
10308,70,5
10309,4,20
10309,6,30
10309,42,2
10309,43,20
10309,71,3
10310,16,10
10310,62,5
10311,42,6
10311,69,7
10312,28,4
10312,43,24
10312,53,20
10312,75,10
10313,36,12
10314,32,40
10314,58,30
10314,62,25
10315,34,14
10315,70,30
10316,41,10
10316,62,70
10317,1,20
10318,41,20
10318,76,6
10319,17,8
10319,28,14
10319,76,30
10320,71,30
10321,35,10
10322,52,20
10323,15,5
10323,25,4
10323,39,4
10324,16,21
10324,35,70
10324,46,30
10324,59,40
10324,63,80
10325,6,6
10325,13,12
10325,14,9
10325,31,4
10325,72,40
10326,4,24
10326,57,16
10326,75,50
10327,2,25
10327,11,50
10327,30,35
10327,58,30
10328,59,9
10328,65,40
10328,68,10
10329,19,10
10329,30,8
10329,38,20
10329,56,12
10330,26,50
10330,72,25
10331,54,15
10332,18,40
10332,42,10
10332,47,16
10333,14,10
10333,21,10
10333,71,40
10334,52,8
10334,68,10
10335,2,7
10335,31,25
10335,32,6
10335,51,48
10336,4,18
10337,23,40
10337,26,24
10337,36,20
10337,37,28
10337,72,25
10338,17,20
10338,30,15
10339,4,10
10339,17,70
10339,62,28
10340,18,20
10340,41,12
10340,43,40
10341,33,8
10341,59,9
10342,2,24
10342,31,56
10342,36,40
10342,55,40
10343,64,50
10343,68,4
10343,76,15
10344,4,35
10344,8,70
10345,8,70
10345,19,80
10345,42,9
10346,17,36
10346,56,20
10347,25,10
10347,39,50
10347,40,4
10347,75,6
10348,1,15
10348,23,25
10349,54,24
10350,50,15
10350,69,18
10351,38,20
10351,41,13
10351,44,77
10351,65,10
10352,24,10
10352,54,20
10353,11,12
10353,38,50
10354,1,12
10354,29,4
10355,24,25
10355,57,25
