orderID,orderDate,shipCountry
10248,1996-07-04 00:00:00.000,France
10249,1996-07-05 00:00:00.000,Germany
10250,1996-07-08 00:00:00.000,Brazil
10251,1996-07-08 00:00:00.000,France
10252,1996-07-09 00:00:00.000,Belgium
10253,1996-07-10 00:00:00.000,Brazil
10254,1996-07-11 00:00:00.000,Switzerland
10255,1996-07-12 00:00:00.000,Switzerland
10256,1996-07-15 00:00:00.000,Brazil
10257,1996-07-16 00:00:00.000,Venezuela
10258,1996-07-17 00:00:00.000,Austria
10259,1996-07-18 00:00:00.000,Mexico
10260,1996-07-19 00:00:00.000,Germany
10261,1996-07-19 00:00:00.000,Brazil
10262,1996-07-22 00:00:00.000,USA
10263,1996-07-23 00:00:00.000,Austria
10264,1996-07-24 00:00:00.000,Sweden
10265,1996-07-25 00:00:00.000,France
10266,1996-07-26 00:00:00.000,Finland
10267,1996-07-29 00:00:00.000,Germany
10268,1996-07-30 00:00:00.000,Venezuela
10269,1996-07-31 00:00:00.000,USA
10270,1996-08-01 00:00:00.000,Finland
10271,1996-08-01 00:00:00.000,USA
10272,1996-08-02 00:00:00.000,USA
10273,1996-08-05 00:00:00.000,Germany
10274,1996-08-06 00:00:00.000,France
10275,1996-08-07 00:00:00.000,Italy
10276,1996-08-08 00:00:00.000,Mexico
10277,1996-08-09 00:00:00.000,Germany
10278,1996-08-12 00:00:00.000,Sweden
10279,1996-08-13 00:00:00.000,Germany
10280,1996-08-14 00:00:00.000,Sweden
10281,1996-08-14 00:00:00.000,Spain
10282,1996-08-15 00:00:00.000,Spain
10283,1996-08-16 00:00:00.000,Venezuela
10284,1996-08-19 00:00:00.000,Germany
10285,1996-08-20 00:00:00.000,Germany
10286,1996-08-21 00:00:00.000,Germany
10287,1996-08-22 00:00:00.000,Brazil
10288,1996-08-23 00:00:00.000,Italy
10289,1996-08-26 00:00:00.000,UK
10290,1996-08-27 00:00:00.000,Brazil
10291,1996-08-27 00:00:00.000,Brazil
10292,1996-08-28 00:00:00.000,Brazil
10293,1996-08-29 00:00:00.000,Mexico
10294,1996-08-30 00:00:00.000,USA
10295,1996-09-02 00:00:00.000,France
10296,1996-09-03 00:00:00.000,Venezuela
10297,1996-09-04 00:00:00.000,France
10298,1996-09-05 00:00:00.000,Ireland
10299,1996-09-06 00:00:00.000,Brazil
10300,1996-09-09 00:00:00.000,Italy
10301,1996-09-09 00:00:00.000,Germany
10302,1996-09-10 00:00:00.000,Belgium
10303,1996-09-11 00:00:00.000,Spain
10304,1996-09-12 00:00:00.000,Mexico
10305,1996-09-13 00:00:00.000,USA
10306,1996-09-16 00:00:00.000,Spain
10307,1996-09-17 00:00:00.000,USA
10308,1996-09-18 00:00:00.000,Mexico
10309,1996-09-19 00:00:00.000,Ireland
10310,1996-09-20 00:00:00.000,USA
10311,1996-09-20 00:00:00.000,France
10312,1996-09-23 00:00:00.000,Germany
10313,1996-09-24 00:00:00.000,Germany
10314,1996-09-25 00:00:00.000,USA
10315,1996-09-26 00:00:00.000,UK
10316,1996-09-27 00:00:00.000,USA
10317,1996-09-30 00:00:00.000,USA
10318,1996-10-01 00:00:00.000,UK
10319,1996-10-02 00:00:00.000,Mexico
10320,1996-10-03 00:00:00.000,Finland
10321,1996-10-03 00:00:00.000,UK
10322,1996-10-04 00:00:00.000,Mexico
10323,1996-10-07 00:00:00.000,Germany
